item_ref,object_name,categories,constraints,type,max_field_size,field_name,description,foreign_key,expected_data,returns,cms,cms_field,cms_table,required_enabled,unique_enabled,primary_key,join_type,guidance
CLAP012A,ssd_cla_placement,looked_after|placement, ,nvarchar,48,clap_cla_id,CLA ID,ssd_cla_episodes.clae_cla_id, ,Local,liquid_logic|mosaic,liquid_logic : clap_cla_id|mosaic : clap_cla_id,liquid_logic : ssd_cla_placement|mosaic : ssd_cla_placement, , , , ,"System identifier for the whole period of care, encompassing all episodes included within that period of care."
CLAP007A,ssd_cla_placement,looked_after|placement, ,nvarchar,48,clap_cla_placement_provider,Placement Provider, , ,SSDA903|AnnexA,liquid_logic|mosaic,liquid_logic : clap_cla_placement_provider|mosaic : clap_cla_placement_provider,liquid_logic : ssd_cla_placement|mosaic : ssd_cla_placement, , , , ,"For each placement, except those children looked-after placed in temporary placements (T0-T4) or other placements (Z1) a placement provider code is required. This will record information on the party providing the placement. Children placed with their own parents do not strictly have a placement provider and should be allocated code PR0, only.
Code set
PR0 - Parent(s) or other person(s) with parental responsibility
PR1 - Own provision (by the local authority) including a regional adoption agency where the child’s responsible local authority is the host authority
PR2 - Other local authority provision, including a regional adoption agency where another local authority is the host authority
PR3 - Other public provision (for example, a primary care trust)
PR4 - Private provision
PR5 - Voluntary/third sector provision"
CLAP008A,ssd_cla_placement,looked_after|placement, ,nvarchar,8,clap_cla_placement_postcode,Placement Postcode, , ,SSDA903|AnnexA,liquid_logic|mosaic,liquid_logic : clap_cla_placement_postcode|mosaic : clap_cla_placement_postcode,liquid_logic : ssd_cla_placement|mosaic : ssd_cla_placement, , , , ,The postcode of the location where the child is placed.
CLAP009A,ssd_cla_placement,looked_after|placement, ,datetime,NULL,clap_cla_placement_end_date,Placement End Date, , ,SSDA903|AnnexA,liquid_logic|mosaic,liquid_logic : clap_cla_placement_end_date|mosaic : clap_cla_placement_end_date,liquid_logic : ssd_cla_placement|mosaic : ssd_cla_placement, , , , ,"This item records the date that each placement ended. A placement cannot start and end on the same day. Where a child has not left care, a new placement must start on the same day as the previous placement finished."
CLAP010A,ssd_cla_placement,looked_after|placement, ,nvarchar,100,clap_cla_placement_change_reason,Reason for Placement Change, , ,SSDA903,liquid_logic|mosaic,liquid_logic : clap_cla_placement_change_reason|mosaic : clap_cla_placement_change_reason,liquid_logic : ssd_cla_placement|mosaic : ssd_cla_placement, , , , ,"Reason for placement change. The reason for placement change should be recorded against the episode that is ceasing, not against the new episode starting.
Code set
CARPL - Change to/Implementation of Care Plan
This code would be used where the change of placement is a planned part of the child’s care plan and will be a move to a placement that meets the child’s assessed needs on a temporary or permanent basis. This would include circumstances where a placement change was not expected but becomes necessary. The key factor is that planning takes place and the decision is recorded in the child’s care plan before the change takes place. This would include moves from short to long term foster care or where a child is placed for adoption with the current foster carer. It also includes movements to semi-independence. The nature of the change in plan will be monitored through the placement codes before and after this move. This should not include changes where the foster carer has moved to a new house or where the carer is the same but has changed provider type.
CLOSE - Resignation/ closure of provision
This code would be used where a child has to be moved because a foster carer decides to resign or the setting closes. This code would be used in a planned move; not in an emergency. The foster carer’s decision to resign may be because their circumstances have changed, for example, the foster carer becomes ill or another change of circumstances means that the foster carer is no longer able to provide a placement for the child. Circumstances may also include where the child’s placement had lasted longer than expected and the foster carer is no longer able to provide a placement for the child. Use of this code would also include where a setting (for example, a children’s home or a fostering service) closes and is therefore no longer a registered provision with Ofsted.
ALLEG - Allegation (s47)
This code would be used where a child has been removed from placement because of an allegation which is being investigated under s47 (Children Act 1989). This allegation may relate to the carer or another child at the setting. This code should not be used if the allegation has resulted in the setting’s approval (for example, a children’s home or a fostering service) being terminated – in this case, ‘approval removed’ should be used.
STAND - Standards of care concern
This code would be used where a child has been removed from placement by the responsible authority or provider as a result of concerns about standards of care. This does not mean a child protection investigation (s47) but a formal process followed by the provider. For example, see the National Minimum Standards for Fostering Service 2011, standard. 22. This code can be used for all types of placement such as foster care, residential care. This code should not be used if the setting’s approval is terminated as a result of standards of care concerns – in this case, ‘approval removed’ should be used.
CUSTOD - Custody arrangement
This code would be used where a child has been admitted into custody.
APPRR   Approval removed
This code would be used where a setting is no longer approved/registered with the appropriate statutory body (such as Ofsted). This code can be used for all types of placement such as foster care, residential care. For example, this code should be used where a foster carer’s approval is terminated by the service following a s47 investigation, a standards of care issue, a complaint or for other reasons that relate to the carers’ conduct. It should also be used where Ofsted take enforcement action resulting in the closure of a residential setting. This code should not be used when a foster carer resigns or a provision is closed voluntarily and they are no longer registered with the relevant statutory body (such as Ofsted).
CREQB - Carer(s) requests placement end due to child’s behaviour
This code would be used where because of the child’s behaviour the placement has broken down or disrupted, and the carer has asked for the placement to end and the child to be moved to another placement. There may be some planning involved and a short period of time may pass but this is not a planned move.
CREQO - Carer(s) requests placement end other than due to child’s behaviour
These codes would be used where it was intended that the placement was a short or long term arrangement but has broken down or disrupted and the carer [foster carer, residential unit or connected person] has asked for the child to be moved to another placement. There may be some planning involved and a short period of time may pass but this is not a planned move.
CHILD - Child requests placement end
This code would be used where it was intended that the placement was a short- or long-term arrangement but has broken down or disrupted and the child has asked to move to another placement. There may be some planning involved and a short period of time may pass but this is not a planned move.
LAREQ - Responsible/area authority requests placement end
This code would be used where it was intended that the placement was a short- or long-term placement but the responsible authority has decided that the placement no longer meets the child’s needs. There may be some planning involved and a short period of time may pass but this is not a planned move. There will be circumstances where the child is at risk of harm and this would be coded as an allegation or standards of care concern. Where the placement no longer meets a child’s need but there is no immediate risk – this code would be used.
PLACE - Change in the status of placement only
This code would be used where there is a change of status for the placement, but the child remains with the same carer and there is no change to the care plan. Examples include a foster carer moving to a new house, a foster carer working for a local authority becomes managed by an independent fostering agency, a placement for adoption transferring to a regional adoption agency, or a child in residential accommodation moving under the same provider. Here the ‘reason for new episode’ code will indicate that the child is still living with the same carer.
OTHER - Other
Any other reason not captured above. Please note that ’Other’ should only be used in exceptional circumstances."
CLAP013A,ssd_cla_placement,looked_after|placement, ,nvarchar,48,clap_person_id,Person Unique ID, , ,Local,liquid_logic|mosaic,liquid_logic : clap_person_id|mosaic : clap_person_id,liquid_logic : ssd_cla_placement|mosaic : ssd_cla_placement, , , , ,Person's ID generated in CMS Database
CLAR001A,ssd_cla_reviews,looked_after|review, ,nvarchar,48,clar_cla_review_id,Review ID, , ,Local,liquid_logic|mosaic,liquid_logic : clar_cla_review_id|mosaic : clar_cla_review_id,liquid_logic : ssd_cla_reviews|mosaic : ssd_cla_reviews,Yes,Yes,Yes, ,Row identifier for the ssd_cla_reviews table
CLAR011A,ssd_cla_reviews,looked_after|review, ,nvarchar,48,clar_cla_id,CLA ID,ssd_cla_episodes.clae_cla_id, ,Local,liquid_logic|mosaic,liquid_logic : clar_cla_id|mosaic : clar_cla_id,liquid_logic : ssd_cla_reviews|mosaic : ssd_cla_reviews, , , , ,"System identifier for the whole period of care, encompassing all episodes included within that period of care."
CLAR003A,ssd_cla_reviews,looked_after|review, ,datetime,NULL,clar_cla_review_due_date,CLA Review Due Date, , ,Local,liquid_logic|mosaic,liquid_logic : clar_cla_review_due_date|mosaic : clar_cla_review_due_date,liquid_logic : ssd_cla_reviews|mosaic : ssd_cla_reviews, , , , ,Date the CLA review was due
CLAR004A,ssd_cla_reviews,looked_after|review, ,datetime,NULL,clar_cla_review_date,CLA Review Date, , ,SSDA903|AnnexA,liquid_logic|mosaic,liquid_logic : clar_cla_review_date|mosaic : clar_cla_review_date,liquid_logic : ssd_cla_reviews|mosaic : ssd_cla_reviews, , , , ,Actual date of the Review conference
CLAR012A,ssd_cla_reviews,looked_after|review, ,nchar,1,clar_cla_review_cancelled, , , ,Local, , , , , , , ,Flag showing if the review was Cancelled. Y/N
CLAR007A,ssd_cla_reviews,looked_after|review, ,nvarchar,100,clar_cla_review_participation,Participation code, , ,SSDA903,liquid_logic|mosaic,liquid_logic : clar_cla_review_participation|mosaic : clar_cla_review_participation,liquid_logic : ssd_cla_reviews|mosaic : ssd_cla_reviews, , , , ,"The Child/ Young Person's method of participation in each review.
PN0 - Child aged under 4 at the time of the review
PN1 - Child physically attends and speaks for him or herself (Attendance).
PN2 - Child physically attends and an advocate speaks on his or her behalf. (Attendance views represented by advocate or Independent Reviewing Officer (IRO))
PN3 - Child attends and conveys his or her view symbolically (non-verbally) (Attendance symbols)
PN4 - Child physically attends but does not speak for him or herself, does not convey his or her view symbolically (non-verbally) and does not ask an advocate to speak for him or her (Attendance without contribution)
PN5 - Child does not attend physically but briefs an advocate to speak for him or her (Views represented by advocate or independent reviewing officer (IRO) through texting, written format, phone, audio/video, viewpoint)
PN6 - Child does not attend but conveys his or her feelings to the review by a facilitative medium (Texting the chair, written format, phone, audio/video, viewpoint)
PN7 - Child does not attend nor are his or her views conveyed to the review"
CLAV001A,ssd_cla_visits,looked_after|visit, ,nvarchar,48,clav_cla_visit_id,Visit ID, , ,Local,liquid_logic|mosaic,liquid_logic : clav_cla_visit_id|mosaic : clav_cla_visit_id,liquid_logic : ssd_cla_visits|mosaic : ssd_cla_visits, , ,Yes, ,Row identifier for the ssd_cla_visits table
CLAV007A,ssd_cla_visits,looked_after|visit, ,nvarchar,48,clav_cla_id, , , ,Local, , , , , , , ,"System identifier for the whole period of care, encompassing all episodes included within that period of care."
CLAV008A,ssd_cla_visits,looked_after|visit, ,nvarchar,48,clav_person_id,Person ID,ssd_cla_episodes.clae_person_id, ,Local,liquid_logic|mosaic, , , , , , ,Person's ID generated in CMS Database
CLAV003A,ssd_cla_visits,looked_after|visit, ,datetime,NULL,clav_cla_visit_date,Date of Visit, , ,AnnexA,liquid_logic|mosaic,liquid_logic : clav_cla_visit_date|mosaic : clav_cla_visit_date,liquid_logic : ssd_cla_visits|mosaic : ssd_cla_visits, , , , ,Actual date of Visit
CLAV004A,ssd_cla_visits,looked_after|visit, ,nchar,1,clav_cla_visit_seen,Child Seen, , ,Local,liquid_logic|mosaic,liquid_logic : clav_cla_visit_seen|mosaic : clav_cla_visit_seen,liquid_logic : ssd_cla_visits|mosaic : ssd_cla_visits, , , , ,Was the child seen during this visit? Y/N
CLAV005A,ssd_cla_visits,looked_after|visit, ,nchar,1,clav_cla_visit_seen_alone,Child Seen Alone, , ,Local,liquid_logic|mosaic,liquid_logic : clav_cla_visit_seen_alone|mosaic : clav_cla_visit_seen_alone,liquid_logic : ssd_cla_visits|mosaic : ssd_cla_visits, , , , ,Was the child seen alone during this visit? Y/N
LAPP001A,ssd_cla_previous_permanence,looked_after|permanence, ,nvarchar,48,lapp_table_id,Previous Permanence ID, , ,Local,liquid_logic|mosaic,liquid_logic : lapp_table_id|mosaic : lapp_table_id,liquid_logic : ssd_cla_previous_permanence|mosaic : ssd_cla_previous_permanence, , ,Yes, ,Row identifier for the ssd_previous_permanence table
LAPP002A,ssd_cla_previous_permanence,looked_after|permanence, ,nvarchar,48,lapp_person_id,Person Unique ID,ssd_cla_episodes.clae_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : lapp_person_id|mosaic : lapp_person_id,liquid_logic : ssd_cla_previous_permanence|mosaic : ssd_cla_previous_permanence,Yes, , , ,Person's ID generated in CMS Database
LAPP003A,ssd_cla_previous_permanence,looked_after|permanence, ,nvarchar,100,lapp_previous_permanence_order_date,Date of Previous Permanence Order, , ,SSDA903,liquid_logic|mosaic,liquid_logic : lapp_previous_permanence_order_date|mosaic : lapp_previous_permanence_order_date,liquid_logic : ssd_cla_previous_permanence|mosaic : ssd_cla_previous_permanence, , , , ,"Date of the previous permanence order, if known. In line with the SSDA903 guidance, if the exact date is unknown, the month and year are recorded in the form zz/MM/YYYY, using zz as the day, for example for May 2020 with the exact date being unknown enter zz/05/2020.
If the month is unknown, the year is recorded in the form zz/zz/YYYY, for example, where the year of 2021 only is known enter zz/zz/2021. If no information is known about the date of the order, the date is recorded as zz/zz/zzzz."
LAPP004A,ssd_cla_previous_permanence,looked_after|permanence, ,nvarchar,200,lapp_previous_permanence_option,Previous Permanence Option, , ,SSDA903,liquid_logic|mosaic,liquid_logic : lapp_previous_permanence_option|mosaic : lapp_previous_permanence_option,liquid_logic : ssd_cla_previous_permanence|mosaic : ssd_cla_previous_permanence, , , , ,"This should be completed for all children who start to be looked-after.
Information is collected for children who previously ceased to be looked-after due to the granting of an adoption order, a special guardianship order, residence order (until 22 April 2014) or a child arrangement order.
Code set
P1 - Adoption
P2 - Special guardianship order (SGO)
P3 - Residence order (RO) or child arrangements order (CAO) which sets out with whom the child is to live.
P4 - Unknown
Z1 - Child has not previously had a permanence option
P4 should be used when it is not known to the local authority whether the child had a previous permanence option. This information can be updated if information comes to light at any stage in an episode of care. Do not include any adoptions/SGO/ROs/CAOs previously granted where the child was not previously looked-after."
LAPP005A,ssd_cla_previous_permanence,looked_after|permanence, ,nvarchar,100,lapp_previous_permanence_la,Previous Permanence Arranged LA, , ,SSDA903,liquid_logic|mosaic,liquid_logic : lapp_previous_permanence_la|mosaic : lapp_previous_permanence_la,liquid_logic : ssd_cla_previous_permanence|mosaic : ssd_cla_previous_permanence, , , , ,The name of the local authority who arranged the previous permanence option.
LACP001A,ssd_cla_care_plan,looked_after|care_plan, ,nvarchar,48,lacp_table_id,Care Plan Table ID, , ,Local,liquid_logic|mosaic,liquid_logic : lacp_table_id|mosaic : lacp_table_id,liquid_logic : ssd_cla_care_plan|mosaic : ssd_cla_care_plan, , ,Yes, ,Row identifier for the ssd_cla_care_plan table
LACP007A,ssd_cla_care_plan,looked_after|care_plan, ,nvarchar,48,lacp_person_id,Person ID,ssd_cla_episodes.clae_person_id, ,Local,liquid_logic|mosaic,liquid_logic : lacp_person_id|mosaic : lacp_person_id,liquid_logic : ssd_cla_care_plan|mosaic : ssd_cla_care_plan,Yes, , , ,Person's ID generated in CMS Database
LACP004A,ssd_cla_care_plan,looked_after|care_plan, ,datetime,NULL,lacp_cla_care_plan_start_date,Care Plan start Date, , ,Local,liquid_logic|mosaic,liquid_logic : lacp_cla_care_plan_start_date|mosaic : lacp_cla_care_plan_start_date,liquid_logic : ssd_cla_care_plan|mosaic : ssd_cla_care_plan, , , , ,Date the care plan was effective from
LACP005A,ssd_cla_care_plan,looked_after|care_plan, ,datetime,NULL,lacp_cla_care_plan_end_date,Care Plan end date, , ,Local,liquid_logic|mosaic, ,liquid_logic : ssd_cla_care_plan|mosaic : ssd_cla_care_plan, , , , ,Date the care plan was effective to
LACP003A,ssd_cla_care_plan,looked_after|care_plan, ,nvarchar,1000,lacp_cla_care_plan_json,What is the chosen/ permanence plan for this child/ young person?, , ,AnnexA,liquid_logic|mosaic,liquid_logic : lacp_cla_care_plan_json|mosaic : lacp_cla_care_plan_json,liquid_logic : ssd_cla_care_plan|mosaic : ssd_cla_care_plan, , , , ,"The current permanence plan for the child. Combined dictionary/ json type containing one or more of the following, where there is value recorded:
REMAINSUP - Remaining with birth family supported by shared care/short term breaks
RETURN1M - Return to birth family within one month
RETURN6M - Return to birth family within six months
RETURNEV - Eventual return to birth family (record number of months below)
LTRELFR - Long term placement with relatives/friends
LTFOST18 - Long term placement with foster carers (intended to last until 18, no return home envisaged)
RESPLMT - Residential placement until independence
SUPPLIV - Supported living in the community (with a view to independence)
ADOPTION - Adoption
OTHERPLN - Other Plan
Where the child does not have a permanence plan agreed (such as recently entered care) please leave blank. More than one box might be ticked if parallel planning is being pursued"
CSDQ001A,ssd_sdq_scores,looked_after|sdq, ,nvarchar,48,csdq_table_id,SDQ ID, , ,Local,liquid_logic|mosaic,liquid_logic : csdq_table_id|mosaic : csdq_table_id,liquid_logic : ssd_sdq_scores|mosaic : ssd_sdq_scores,Yes,Yes,Yes, ,Row identifier for the ssd_sdq_scores table
CSDQ002A,ssd_sdq_scores,looked_after|sdq, ,nvarchar,48,csdq_person_id,Person Unique ID,ssd_cla_episodes.clae_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : csdq_person_id|mosaic : csdq_person_id,liquid_logic : ssd_sdq_scores|mosaic : ssd_sdq_scores,Yes, , , ,Person's ID generated in CMS Database
CSDQ003A,ssd_sdq_scores,looked_after|sdq, ,datetime,NULL,csdq_sdq_completed_date,SDQ Completed Date, , ,Local,liquid_logic|mosaic,liquid_logic : csdq_sdq_completed_date|mosaic : csdq_sdq_completed_date,liquid_logic : ssd_sdq_scores|mosaic : ssd_sdq_scores, , , , ,Date of completion of Strength and Difficulties Questionnaire (SDQ)
CSDQ004A,ssd_sdq_scores,looked_after|sdq, ,nvarchar,100,csdq_sdq_reason,SDQ Reason, , ,SSDA903,liquid_logic|mosaic,liquid_logic : csdq_sdq_reason|mosaic : csdq_sdq_reason,liquid_logic : ssd_sdq_scores|mosaic : ssd_sdq_scores, , , , ,"(currently 'PLACEHOLDER_DATA' pending further development)
If it is not possible to collect the SDQ score for a looked-after child, then a reason should be recorded using the codes below.
Code set
SDQ1 - No form returned as child was aged under 4 or over 16 at date of latest assessment
SDQ2 - Carer(s) refused to complete and return questionnaire
SDQ3 - Not possible to complete the questionnaire due to severity of the child’s disability
SDQ4 - Other
SDQ5 - Child or young person refuses to allow a strengths and difficulties questionnaire (SDQ) to be completed"
CSDQ005A,ssd_sdq_scores,looked_after|sdq, ,nvarchar,100,csdq_sdq_score,SDQ Score, , ,SSDA903,liquid_logic|mosaic,liquid_logic : csdq_sdq_score|mosaic : csdq_sdq_score,liquid_logic : ssd_sdq_scores|mosaic : ssd_sdq_scores, , , , ,"A single score (0–40), or a reason for the score not being returned is required for each child looked-after continuously for at least 12 months aged 4–16 on the date of the last assessment."
MISS001A,ssd_missing,looked_after|missing, ,nvarchar,48,miss_table_id,Missing Episode Table ID, , ,Local,liquid_logic|mosaic,liquid_logic : miss_table_id|mosaic : miss_table_id,liquid_logic : ssd_missing|mosaic : ssd_missing,Yes,Yes,Yes, ,Row identifier for the ssd_missing table
MISS002A,ssd_missing,looked_after|missing, ,nvarchar,48,miss_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic,liquid_logic : miss_person_id|mosaic : miss_person_id,liquid_logic : ssd_missing|mosaic : ssd_missing, , , , ,Person's ID generated in CMS Database
MISS003A,ssd_missing,looked_after|missing, ,datetime,NULL,miss_missing_episode_start_date,Missing Episode Start, , ,SSDA903|AnnexA,liquid_logic|mosaic,liquid_logic : miss_missing_episode_start_date|mosaic : miss_missing_episode_start_date,liquid_logic : ssd_missing|mosaic : ssd_missing, , , , ,"The missing episode start date. This should be completed for both missing episodes and episodes where the child was away from placement without authorisation. It should be the date the child left his or her normal placement or the date the child was last seen by a responsible adult (whichever was the latest). For this purpose, a responsible adult is either the child’s carer, or a professional directly associated with the child’s welfare or education (like a doctor, school-teacher or social worker).
Any UASC that go missing before being accommodated for 24 hours for data collection purposes should still be recorded as missing with a start date as the date in which they left his or her normal placement or the date the child was last seen by a responsible adult (whichever was the latest). For this purpose, a responsible adult is either the child’s carer, or a professional directly associated with the child’s welfare or education (like a doctor, school-teacher, home office official or social worker).
Unresolved cases should remain open and until the child’s 18th birthday, at which point the case should be closed using the appropriate reason code. Records must not be closed before this point."
MISS004A,ssd_missing,looked_after|missing, ,nvarchar,100,miss_missing_episode_type,Episode Type (Missing/ Absent), , ,SSDA903|AnnexA,liquid_logic|mosaic,liquid_logic : miss_missing_episode_type|mosaic : miss_missing_episode_type,liquid_logic : ssd_missing|mosaic : ssd_missing, , , , ,"Record each episode where a child was ‘missing’ or ‘away from placement without authorisation’ according to the following definitions:
• Missing - Missing from care: a looked-after child who is not at their placement or the place they are expected to be (for example school) and their whereabouts is not known
• Away - Away from placement without authorisation: a looked-after child whose whereabouts is known but who is not at their placement or place they are expected to be and the carer has concerns or the incident has been notified to the local authority or the police.
Any children missing from care or away from placement without authorisation for any length of time should be recorded."
MISS005A,ssd_missing,looked_after|missing, ,datetime,NULL,miss_missing_episode_end_date,Missing Episode End, , ,SSDA903|AnnexA,liquid_logic|mosaic,liquid_logic : miss_missing_episode_end_date|mosaic : miss_missing_episode_end_date,liquid_logic : ssd_missing|mosaic : ssd_missing, , , , ,The missing episode end date. This should be completed for both missing episodes and episodes where the child was away from placement without authorisation. It should be the date that the child was found (where whereabouts are unknown) or the date that the child returned to his/her normal placement (where whereabouts known).
MISS006A,ssd_missing,looked_after|missing, ,nvarchar,2,miss_missing_rhi_offered,RHI Offered, ,"[""Y"", ""N"", ""NA""]",AnnexA,liquid_logic|mosaic,liquid_logic : miss_missing_rhi_offered|mosaic : miss_missing_rhi_offered,liquid_logic : ssd_missing|mosaic : ssd_missing, , , , ,Records whether the child was offered a Return Interview after their missing episode. Y/N/NA/NULL
MISS007A,ssd_missing,looked_after|missing, ,nvarchar,2,miss_missing_rhi_accepted,RHI Accepted, ,"[""Y"", ""N"", ""NA""]",AnnexA,liquid_logic|mosaic,liquid_logic : miss_missing_rhi_accepted|mosaic : miss_missing_rhi_accepted,liquid_logic : ssd_missing|mosaic : ssd_missing, , , , ,Records whether the child accepted the Return Interview offered after their missing episode. Y/N/NA/NULL
CLEA001A,ssd_care_leavers,care_leavers, ,nvarchar,48,clea_table_id,Care Leaver Table ID, , ,Local,liquid_logic|mosaic,liquid_logic : clea_table_id|mosaic : clea_table_id,liquid_logic : ssd_care_leavers|mosaic : ssd_care_leavers,Yes,Yes,Yes, ,Row identifier for the ssd_care_leavers table
CLEA002A,ssd_care_leavers,care_leavers, ,nvarchar,48,clea_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : clea_person_id|mosaic : clea_person_id,liquid_logic : ssd_care_leavers|mosaic : ssd_care_leavers,Yes, , , ,Person's ID generated in CMS Database
CLEA003A,ssd_care_leavers,care_leavers, ,nvarchar,100,clea_care_leaver_eligibility,Eligibility Status/ Category, , ,AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : clea_care_leaver_eligibility|mosaic : clea_care_leaver_eligibility,liquid_logic : ssd_care_leavers|mosaic : ssd_care_leavers, , , , ,"The current Care Leaver Eligibility Status of the Child/ Young Person.
Code set
Relevant
Former Relevant
Eligible
Qualifying
No Current Eligibility

A relevant child is:
• a young person aged 16 or 17
• is no longer looked-after
• before last ceasing to be looked-after, was an ‘eligible child’ (see definition below)
OR
• a young person aged 16 or 17
• not subject to a care order
• detained, or in hospital on their 16th birthday
• immediately before being detained or admitted to hospital had been looked-after for at least 13 weeks which began after they reached age 14.
A former relevant child is one who is:
• aged 18 or above,
AND EITHER
• has been a relevant child and would be one if he were under 18, OR
• immediately before he ceased to be looked-after at age 18, was an eligible child.
The definition of eligible children is given below- relevant and former relevant children will have been an eligible child in the past. 
An eligible child is:
• a young person aged 16 or 17
• who is looked-after
• and has been looked-after for at least 13 weeks which began after they reached the age of 14
and ended after they reached the age of 16.
A qualifying Care Leaver is:
• aged between 16 and 25
• who was looked after by children’s services on, or after, their 16th birthday and no longer looked after
• and spent less than 13 weeks in care since 14th birthday, i.e. do not fulfill criteria for eligible or relevant child "
CLEA004A,ssd_care_leavers,care_leavers, ,nvarchar,100,clea_care_leaver_in_touch,In Touch Category, , ,SSDA903|RIIA,liquid_logic|mosaic,liquid_logic : clea_care_leaver_in_touch|mosaic : clea_care_leaver_in_touch,liquid_logic : ssd_care_leavers|mosaic : ssd_care_leavers, , , , ,"Is the local authority in touch with this young person?
Code set
YES  -  Yes - in touch
NO  -  No – not in touch
DIED  -  Died after leaving care
REFU  -  Young person refuses contact
NREQ  -  Young person no longer requires children’s social care services
RHOM  - Young person returned to live with parents or someone with parental responsibility for a continuous period of 6 months or more "
CLEA005A,ssd_care_leavers,care_leavers, ,datetime,NULL,clea_care_leaver_latest_contact,Latest Date of Contact, , ,AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : clea_care_leaver_latest_contact|mosaic : clea_care_leaver_latest_contact,liquid_logic : ssd_care_leavers|mosaic : ssd_care_leavers, , , , ,"This should be the latest date of PA contact with the young person, it is left blank if the LA is not in touch with the care leaver."
CLEA006A,ssd_care_leavers,care_leavers, ,nvarchar,100,clea_care_leaver_accommodation,Accommodation, , ,SSDA903|RIIA|AnnexA,liquid_logic|mosaic,liquid_logic : clea_care_leaver_accommodation|mosaic : clea_care_leaver_accommodation,liquid_logic : ssd_care_leavers|mosaic : ssd_care_leavers, , , , ,"The type of accommodation that the young person is living in on or around their 17th, 18th, 19th, 20th or 21st birthday, or the accommodation the young person is living in at the time of their latest contact during the year if they are aged 22-to-25-years-old.
Code set
B - With parent(s) or relative(s)
C - Community home or other form of residential care such as an National Health Service (NHS) establishment
D - Semi-independent, transitional accommodation (like a supported hostel, trainer flats); self-contained accommodation with specialist personal assistance support (for example, for young people with disabilities, pregnant young women and single parents); and self-contained accommodation with floating support
E - Supported lodgings (accommodation, usually in a family home, where adult(s) in the “host family” provide formal advice and support)
G - Gone abroad
H - Deported
K - Ordinary lodgings, without formal support
R - Residence not known
S - No fixed abode / homeless
T - Foyers and similar supported accommodation which combines the accommodation with opportunities for education, training or employment
U - Independent living, for example independent tenancy of flat, house or bedsit, including local authority or housing association tenancy, or accommodation provided by a college or university. Includes flat sharing
V - Emergency accommodation (like a night shelter, direct access or emergency hostel)
W - Bed and breakfast
X - In custody
Y - Other accommodation
Z - With former foster carer(s) - where the young person has been fostered and on turning 18 continues to remain with the same carer(s) who had fostered them immediately prior to their reaching legal adulthood, and where the plan for their care involves their remaining with this former foster family for the future. This code should not be used for 17-year-old care leavers. If the foster carer is also a relative this code should be used rather than ‘B - with parents or relatives’. "
CLEA007A,ssd_care_leavers,care_leavers, ,nvarchar,100,clea_care_leaver_accom_suitable,Suitability of Accommodation, , ,AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : clea_care_leaver_accom_suitable|mosaic : clea_care_leaver_accom_suitable,liquid_logic : ssd_care_leavers|mosaic : ssd_care_leavers, , , , ,"Is the accommodation considered suitable? Accommodation is to be regarded as suitable if it provides safe, secure and affordable provision for young people. Accommodation that clearly exposes the person to risk of harm or social exclusion by reason of its location or other factors should be coded as ‘unsuitable’.
Code set
1 - Accommodation is considered suitable
2 - Accommodation is considered unsuitable "
CLEA008A,ssd_care_leavers,care_leavers, ,nvarchar,100,clea_care_leaver_activity,Activity Status, , ,SSDA903|RIIA|AnnexA,liquid_logic|mosaic,liquid_logic : clea_care_leaver_activity|mosaic : clea_care_leaver_activity,liquid_logic : ssd_care_leavers|mosaic : ssd_care_leavers, , , , ,"For care leavers aged 17 to 21 years, the young person's main activity status on or around their birthday if the LA was in touch with them, or if the LA was not in touch with them but was certain of their activity on their birthday. For care leavers aged 22 to 25 years, this will be their main activity status at their last contact with the LA.
Code set
F1 - Young person engaged full time in higher education (for example studies beyond A level)
P1 - Young person engaged part time in higher education (for example studies beyond A level)
F2 - Young person engaged full time in education other than higher education
P2 - Young person engaged part time in education other than higher education
F4 - Young person engaged full time in an apprenticeship
P4 - Young person engaged part time in an apprenticeship
F5 - Young person engaged full time in training or employment (not apprenticeship)
P5 - Young person engaged part time in training or employment (not apprenticeship)
G4 - Young person not in education, employment or training because of illness or disability
G5 - Young person not in education, employment or training: other circumstances
G6 - Young person not in education, employment or training due to pregnancy or parenting
F3 - (superseded by F4/F5) Young person engaged full time in training or employment
P3 - (superseded by F4/F5) Young person engaged part time in training or employment "
CLEA009A,ssd_care_leavers,care_leavers, ,datetime,NULL,clea_pathway_plan_review_date,Latest Pathway Plan Review Date, , ,AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : clea_pathway_plan_review_date|mosaic : clea_pathway_plan_review_date,liquid_logic : ssd_care_leavers|mosaic : ssd_care_leavers, , , , ,"This should be either the date the Pathway plan started, or the latest date the pathway plan was reviewed (if applicable); whichever is the most recent."
